股票代码,股票名称,当前价,涨跌幅,市值,市盈率
ESRX,快捷药方,75.19,2.31,4.12669205E10,9.49
SNAP,Snap Inc.,15.55,2.3,1.83193316418E10,
ORMP,Oramed Pharmaceuticals Inc.,7.55,2.3,1.06587E8,9.58
OPB,Opus Bank,28.85,2.3,9.665803E8,22.38
AMLP,Alerian MLP ETF,10.25,2.3,9.3768372E9,8.33
EMCF,恩克莱尔金融,33.5,2.29,7.43798E7,16.97
CCI,Crown Castle Intl. (REIT),104.96,2.28,4.25690866E10,115.3
BLD,TopBuild Corp.,79.02,2.28,2.7512793E9,17.52
DWSN,道森地探,6.76,2.27,1.440485E8,
DPLO,Diplomat Pharmacy,21.22,2.27,1.4146971788E9,42.4
ABG,阿斯伯里汽车,67.7,2.27,1.3844572E9,10.0
SRV,Cushing MLP & Infrastructure Total Return Fund,11.76,2.26,7.74445E7,9.78
BHB,"Bar Harbor Bankshares, Inc.",29.86,2.26,4.514028E8,17.18
UMRX,Unum Therapeutics Inc.,12.25,2.25,3.548203E8,
TPIC,"TPI Composites, Inc.",22.71,2.25,7.572954E8,17.77
DSE,Duff & Phelps Select Energy MLP Fund Inc.,5.91,2.25,1.513534E8,
EGAN,eGain Corporation,9.15,2.23,2.441931E8,
BWL.A,"Bowl America, Inc. Class A",15.16,2.23,5.61968E7,35.71
AREX,Approach资源,2.75,2.23,2.537563E8,
TBPH,Theravance Biopharma,22.55,2.22,1.2088287E9,
RDI,Reading International Inc - Class A Non-voting,16.12,2.22,3.39019E8,11.86
PRTO,"Proteon Therapeutics, Inc.",2.3,2.22,3.97681E7,
NAOV,NANOVIBRONIX INC,4.6,2.22,1.77114E7,
JAKK,"JAKKS Pacific, Inc.",2.3,2.22,6.56085E7,
TDW,Tidewater Inc.,34.26,2.21,7.954505E8,
TAIT,Taitron Components Incorporated,1.39,2.21,6539200.0,12.36
RMP,Rice Midstream Partners LP Common Units representing limited partner interests,18.46,2.21,1.8475941E9,11.58
KED,KED基金,16.64,2.21,1.751611E8,9.15
GM+B,General Motors Company Warrant (Expires 07/10/2019),20.32,2.21,0.0,
AMZA,InfraCap MLP ETF,7.43,2.2,5.85235E8,
TOWR,"Tower International, Inc. Common stock",30.35,2.19,6.101087E8,13.5
PAA,"Plains All American Pipeline, L.P.",25.21,2.19,1.78908543E10,25.97
LYV,"Live Nation Entertainment, Inc.",40.11,2.19,8.1706264E9,
CASI,"CASI Pharmaceuticals, Inc.",7.0,2.19,5.896386E8,
ASNS,"Arsanis, Inc.",15.85,2.19,2.217059E8,
SBH,"Sally Beauty Holdings, Inc. (Name to be changed from Sally Holdings, Inc.)",16.41,2.18,2.0091501E9,8.82
EPD,Enterprise Products Partners L.P.,27.17,2.18,5.74635139E10,20.45
TSCO,Tractor Supply Company,61.64,2.17,7.4734872E9,18.28
SOI,"Solaris Oilfield Infrastructure, Inc. Class A",18.39,2.17,4.745984E8,
INUV,"Inuvo, Inc.",0.94,2.17,2.63291E7,
CYBE,数码光学科技,16.45,2.17,1.127956E8,84.74
CDXC,ChromaDex,4.24,2.17,2.275697E8,
AKTS,"Akoustis Technologies, Inc.",5.18,2.17,1.131659E8,
ABIO,方舟生物医药,0.57,2.17,7764200.0,
WES,"Western Gas Partners, LP Limited Partner Interests",47.33,2.16,7.0700555E9,35.64
TAP,摩森康胜,71.9,2.16,1.37678243E10,10.79
NGHC,National General Holdings Corp,26.04,2.16,2.7245641E9,37.49
HSON,"Hudson Global, Inc.",1.89,2.16,5.7647E7,
VRTV,Veritiv Corporation,38.0,2.15,5.852953E8,
AOBC,American Outdoor Brands Corporation,11.38,2.15,6.030078E8,15.26
ZB-A,Zions Bancorporation Depositary Shares (Each representing 1/40th Interest in a Share of Series A Floating-Rate Non-Cumulative Pe,24.3,2.14,6.28056E7,19.07
PACW,PacWest Bancorp,52.07,2.14,6.4509007E9,17.52
KSS,科尔士百货,59.63,2.14,9.8216702E9,11.4
HZO,海上麦斯服务,18.13,2.14,4.717357E8,19.72
ALDX,"Aldeyra Therapeutics, Inc.",7.15,2.14,1.376544E8,
MLPI,Alerian MLP基础设施ETF-ETRACS,22.56,2.13,1.5779992E9,
ZG,Zillow A股,47.69,2.12,2.6746464E9,88.11
VCEL,Vericel Corporation,12.05,2.12,4.299834E8,
SIG,西格内特珠宝,39.47,2.12,2.2805779E9,5.19
III,信息服务,4.33,2.12,1.852331E8,
FLKS,"Flex Pharma, Inc.",5.29,2.12,9.30958E7,
SEP,"Spectra Energy Partners, LP Common Units representing Limited Partner Interests",35.35,2.11,1.67867332E10,44.96
NXTD,NXT-ID Inc.,1.94,2.11,4.62602E7,
AMU,ETRACS Alerian MLP Index ETN,16.49,2.11,3.19447E8,
AE,"Adams Resources & Energy, Inc.",47.02,2.11,1.942203E8,
STLRW,Stellar Acquisition III Inc. - Warrants,0.49,2.1,0.0,
RH,RH,90.25,2.09,1.9022458E9,1262.86
OII,国际海洋工程,20.5,2.09,1.9784696E9,11.95
MTDR,Matador Resources Company,33.71,2.09,3.6073936E9,26.85
WPZ,"Williams Partners, L.P. Common Units Representing Limited Partner Interests",35.95,2.07,3.37241878E10,39.13
STRS,Stratus Properties Inc.,32.0,2.07,2.549853E8,66.7
MRIN,Marin Software Incorporated,7.4,2.07,4.16725E7,
KALV,"KalVista Pharmaceuticals, Inc.",9.35,2.07,9.88904E7,
HBHC,汉考克控股银行,49.35,2.07,4.1964958E9,17.58
AES,爱依斯电力,11.86,2.07,7.674923E9,
VST,Vistra Energy Corp.,22.33,2.06,1.14350427E10,
RETL,Direxion Daily Retail Bull 3X Shares ETF,32.15,2.06,2.04754E7,
PDCO,"Patterson Companies, Inc.",22.79,2.06,2.1131772E9,8.66
MOC,Command Security Corporation,2.97,2.06,2.94117E7,
MGM,美高梅,36.17,2.06,2.0082289E10,10.58
LXFT,"Luxoft Holding, Inc. Class A Ordinary Shares",39.55,2.06,8.5776E8,21.06
LTS,Ladenburg Thalmann Financial Services Inc,3.46,2.06,6.789616E8,
EMO,ClearBridge Energy MLP Opportunity Fund Inc.,10.9,2.06,3.331739E8,
KRO,康诺斯全球,24.84,2.05,2.8210571E9,40.57
DVAX,德纳维制药,18.45,2.05,1.1148844E9,
AERI,"Aerie Pharmaceuticals, Inc.",54.75,2.05,2.1187941E9,
VRX,凡利亚药品国际,17.53,2.04,5.9930792E9,2.52
UGA,美国汽油基金,34.04,2.04,4.6704E7,50.55
ENLC,"EnLink Midstream, LLC Common Units representing Limited Partner Interests",15.0,2.04,2.6589855E9,12.56
CVNA,Carvana Co. Class A,29.97,2.04,5.729878E8,
CVEO,Civeo Corporation (Canada),4.0,2.04,5.288363E8,
CRTO,Criteo S.A. - American Depositary Shares,28.11,2.03,1.8181122E9,20.56
UTMD,犹他医疗产品,108.65,2.02,3.967938E8,46.71
ACIU,AC Immune SA,10.63,2.02,5.976411E8,
OBCI,"Ocean Bio-Chem, Inc.",3.57,2.0,3.2391E7,12.5
NRT,北欧石油信托,8.67,2.0,7.812E7,11.18
